City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Berlevag,NO,2022-01-31 21:03:11,70.8578,29.0864,17.6,67,0,11.5,clear sky
60,Bluff,NZ,2022-01-31 21:04:36,-46.6,168.3333,68.81,83,25,4.27,scattered clouds
61,Dingle,PH,2022-01-31 21:08:05,10.9995,122.6711,74.79,92,100,7.81,overcast clouds
62,Bengkulu,ID,2022-01-31 21:08:05,-3.8004,102.2655,75.65,86,99,3.2,overcast clouds
63,Kruisfontein,ZA,2022-01-31 21:08:06,-34.0033,24.7314,72.88,93,100,2.21,overcast clouds
64,Gat,IL,2022-01-31 21:06:03,31.61,34.7642,50.92,100,66,9.51,broken clouds
65,Palmer,US,2022-01-31 21:04:15,42.1584,-72.3287,30.76,40,20,1.01,few clouds
66,Gornopravdinsk,RU,2022-01-31 21:08:07,60.05,69.9,6.55,97,100,2.62,overcast clouds
67,Alappuzha,IN,2022-01-31 21:08:07,9.49,76.3264,78.67,79,14,4.65,few clouds
68,Dikson,RU,2022-01-31 21:07:48,73.5069,80.5464,-4.56,92,100,18.63,overcast clouds
69,Daru,PG,2022-01-31 21:08:08,-9.0763,143.2092,77.61,87,100,11.03,light rain
70,Vanimo,PG,2022-01-31 21:01:26,-2.6741,141.3028,75.04,83,100,6.11,overcast clouds
71,Katsuura,JP,2022-01-31 21:08:08,35.1333,140.3,39.31,46,79,6.78,broken clouds
72,Mount Isa,AU,2022-01-31 21:08:09,-20.7333,139.5,76.77,100,40,4.61,scattered clouds
73,Slave Lake,CA,2022-01-31 21:08:09,55.2834,-114.769,1.38,78,100,17.27,haze
74,Nome,US,2022-01-31 21:04:24,64.5011,-165.4064,15.87,45,0,12.66,clear sky
75,Saldanha,ZA,2022-01-31 21:08:10,-33.0117,17.9442,71.29,71,14,3.4,few clouds
76,Aykhal,RU,2022-01-31 21:00:14,66.0,111.5,-26.43,100,91,5.39,overcast clouds
77,Juneau,US,2022-01-31 21:07:20,58.3019,-134.4197,27.21,78,40,10.36,scattered clouds
78,Kenai,US,2022-01-31 21:08:11,60.5544,-151.2583,12.02,92,100,5.75,mist
79,Ewa Beach,US,2022-01-31 21:08:11,21.3156,-158.0072,78.75,59,75,5.75,broken clouds
80,Barrow,US,2022-01-31 21:04:15,71.2906,-156.7887,-14.78,76,0,9.22,clear sky
81,Airai,TL,2022-01-31 21:04:47,-8.9266,125.4092,59.77,88,90,4.14,overcast clouds
82,Tasiilaq,GL,2022-01-31 21:08:02,65.6145,-37.6368,12.36,98,98,3.91,overcast clouds
83,Xichang,CN,2022-01-31 21:08:12,27.8964,102.2634,43.16,93,98,1.68,overcast clouds
84,Castro,BR,2022-01-31 21:08:12,-24.7911,-50.0119,74.95,72,13,2.82,few clouds
85,Hare Bay,CA,2022-01-31 21:08:13,48.8499,-54.0148,29.19,67,91,8.95,overcast clouds
86,Kavieng,PG,2022-01-31 21:08:13,-2.5744,150.7967,80.31,79,100,7.74,moderate rain
87,Yulara,AU,2022-01-31 21:09:13,-25.2406,130.9889,71.44,100,75,11.5,moderate rain
88,Longyearbyen,SJ,2022-01-31 21:09:14,78.2186,15.6401,10.24,72,100,9.22,light snow
