City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rioja,AR,2022-01-31 04:45:58,-29.4111,-66.8507,78.82,50,0,4.21
68,Dingle,PH,2022-01-31 04:45:58,10.9995,122.6711,84.74,68,39,10.22
69,Butaritari,KI,2022-01-31 04:45:58,3.0707,172.7902,81.93,76,51,19.06
70,Carberry,CA,2022-01-31 04:45:59,49.8689,-99.3602,10.65,98,79,6.69
71,Yellowknife,CA,2022-01-31 04:42:47,62.456,-114.3525,-10.44,83,75,10.36
72,Buritizeiro,BR,2022-01-31 04:45:59,-17.3511,-44.9622,70.18,86,95,3.27
73,Guerrero Negro,MX,2022-01-31 04:46:00,27.9769,-114.0611,59.97,69,68,10.4
74,Tautira,PF,2022-01-31 04:46:00,-17.7333,-149.15,82.42,77,89,15.35
75,Hervey Bay,AU,2022-01-31 04:46:00,-25.2986,152.8535,89.04,67,32,11.3
76,Almoloya,MX,2022-01-31 04:46:01,19.7,-98.4,50.34,68,4,3.8
77,Vardo,NO,2022-01-31 04:43:15,70.3705,31.1107,21.4,70,58,17.72
78,Tigil,RU,2022-01-31 04:46:01,57.8,158.6667,28.42,68,89,19.77
79,Eyl,SO,2022-01-31 04:46:02,7.9803,49.8164,77.36,70,94,18.07
80,Ciro Marina,IT,2022-01-31 04:46:02,39.3732,17.126,42.85,69,0,6.73
81,Roebourne,AU,2022-01-31 04:46:03,-20.7833,117.1333,100.81,32,78,13.65
82,Bengkulu,ID,2022-01-31 04:46:03,-3.8004,102.2655,85.32,62,94,4.5
83,Fort Nelson,CA,2022-01-31 04:43:10,58.8053,-122.7002,-2.61,71,100,10.36
84,Beringovskiy,RU,2022-01-31 04:46:04,63.05,179.3167,-2.97,95,100,10.69
85,Pervomayskiy,RU,2022-01-31 04:46:04,53.2485,40.2871,25.12,96,100,10.2
86,Tuatapere,NZ,2022-01-31 04:46:05,-46.1333,167.6833,65.28,79,96,7.0
87,Shaunavon,CA,2022-01-31 04:46:05,49.6501,-108.4181,29.98,79,89,9.93
88,Atuona,PF,2022-01-31 04:42:30,-9.8,-139.0333,78.26,75,10,15.59
89,Balabac,PH,2022-01-31 04:47:06,7.9868,117.0645,84.0,69,38,10.07
90,Taoudenni,ML,2022-01-31 04:47:06,22.6783,-3.9836,65.68,14,83,14.7
91,Basarabeasca,MD,2022-01-31 04:47:07,46.3311,28.9728,39.72,81,86,10.31
92,Dolores,AR,2022-01-31 04:44:42,-36.3132,-57.6792,59.05,93,98,15.03
93,Thompson,CA,2022-01-31 04:47:08,55.7435,-97.8558,-3.84,77,20,2.3
94,San Patricio,US,2022-01-31 04:44:40,28.017,-97.5169,64.38,80,100,10.92
95,Karasburg,NA,2022-01-31 04:47:08,-28.0167,18.75,74.39,64,60,16.6
96,Port Blair,IN,2022-01-31 04:47:09,11.6667,92.75,80.64,61,40,9.22
97,Atagay,RU,2022-01-31 04:47:10,55.1033,99.3875,9.72,83,100,1.25
98,Obregon,NI,2022-01-31 04:47:10,11.9566,-85.9636,75.29,70,8,11.92
99,Twin Falls,US,2022-01-31 04:47:10,42.3505,-114.6445,17.49,85,0,5.75
100,Port Elizabeth,ZA,2022-01-31 04:47:11,-33.918,25.5701,69.1,100,100,5.75
101,Ahipara,NZ,2022-01-31 04:47:11,-35.1667,173.1667,74.12,65,100,14.12
102,Camopi,GF,2022-01-31 04:46:54,3.1655,-52.3158,69.58,100,88,1.32
